StockId,portval
1,1.1662818908691406
2,1.069228973388672
3,2.0491650390625
4,1.1370999145507812
5,1.0
6,1.1982909393310548
7,1.1048458099365235
8,0.935911226272583
9,1.1478057098388672
10,0.9915999603271485
11,0.779437255859375
12,1.0933633422851563
13,1.065900115966797
14,1.9559469604492188
15,1.03203125
16,1.1238715362548828
17,1.7127328491210938
18,1.71474365234375
19,1.639300079345703
20,7.07349609375
21,1.0
22,1.0
23,1.60739990234375
24,1.1371112060546875
25,0.9822000122070312
26,1.2420748901367187
27,0.9775157165527344
28,0.9522192764282227
29,1.2058030700683593
30,1.0
31,1.0237632751464845
32,1.0038075256347656
33,-0.02821533203125
34,1.0662701416015625
35,0.9695795059204102
36,1.4905841064453125
37,0.8698898315429687
38,1.271721420288086
39,1.2375413513183593
40,1.0609063720703125
41,0.8804000854492188
42,1.294521255493164
43,1.0291521835327149
44,0.23573211669921876
45,1.260370864868164
46,1.0
47,1.0691430282592773
48,1.3973251342773438
49,1.0636197662353515
50,1.0
51,0.9953763580322266
52,1.3921939086914064
53,0.9021334075927734
54,0.8261503601074218
55,1.538900146484375
56,0.5985845947265624
57,1.0
58,1.0
59,0.5513841247558594
60,1.3414540100097656
61,1.4345513916015624
62,1.0
63,1.0
64,1.2672328186035156
65,0.9689982604980468
66,1.0
67,1.0289115715026855
68,1.096335105895996
69,0.954931640625
70,1.4689013671875
71,0.44129730224609376
72,1.0288769912719726
73,0.9494056701660156
74,1.0
75,1.556766815185547
76,1.2645831298828125
77,1.0
78,1.105618438720703
79,1.6715850830078125
80,0.9413308715820312
81,1.1974261474609376
82,1.0
83,0.7531259155273438
84,0.6590036010742187
85,1.0076292419433595
86,1.0
87,1.0
88,0.7103074645996094
89,1.5209506225585938
90,1.1172297668457032
91,1.244699935913086
92,1.3421673583984375
93,0.8744698715209961
94,1.0218305397033691
95,0.958668212890625
96,0.9222799682617188
97,1.049273223876953
98,1.6314886474609376
99,1.187192153930664
100,0.9849749755859375
101,1.0570499038696288
102,1.0807998657226563
103,1.1472999572753906
104,1.0
105,1.1247745513916017
106,0.914389877319336
107,1.0860595703125
108,1.0454813385009765
109,1.1584002685546875
110,1.0
111,1.045999984741211
112,1.0
113,1.0590702056884767
114,0.9493461608886719
115,1.0
116,-0.34672882080078127
117,1.0
118,3.4026998901367187
119,0.19868927001953124
120,0.9889192581176758
121,1.0
122,0.846199951171875
123,1.1726705169677734
124,1.0719065856933594
125,1.0566382598876953
126,0.9847775268554687
127,0.9857496643066406
